flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0978-20161227-IKA-DXB-0,978,IKA,DXB,27/12/2016 21:25,27/12/2016 23:45,FALSE,27/12/2016 21:25,27/12/2016 23:45,NA,NA,1,18,65,A0WBF
FL-EK-0082-20161231-LYS-DXB-0,82,LYS,DXB,31/12/2016 19:55,01/01/2017 02:15,FALSE,31/12/2016 19:55,01/01/2017 02:15,NA,NA,0,10,269,A0WCB
FL-EK-0133-20161228-DXB-DME-0,133,DXB,DME,28/12/2016 06:00,28/12/2016 11:20,FALSE,28/12/2016 06:00,28/12/2016 11:20,NA,NA,5,13,163,A0WCG
FL-EK-0317-20161227-KIX-DXB-0,317,KIX,DXB,27/12/2016 14:35,28/12/2016 01:45,FALSE,27/12/2016 14:35,28/12/2016 01:45,NA,NA,8,29,278,A0WDF
FL-EK-0380-20161231-DXB-HKG-0,380,DXB,HKG,31/12/2016 06:05,31/12/2016 13:05,FALSE,31/12/2016 06:05,31/12/2016 13:05,NA,NA,2,45,415,A0WLP
FL-EK-0347-20161230-KUL-DXB-0,347,KUL,DXB,30/12/2016 11:10,30/12/2016 18:30,FALSE,30/12/2016 11:10,30/12/2016 18:30,NA,NA,7,48,228,A0WVZ
FL-EK-0121-20161231-DXB-IST-0,121,DXB,IST,31/12/2016 10:35,31/12/2016 15:35,FALSE,31/12/2016 10:35,31/12/2016 15:35,NA,NA,0,7,77,A0WWU
FL-EK-0144-20161231-MAD-DXB-0,144,MAD,DXB,31/12/2016 20:40,01/01/2017 03:40,FALSE,31/12/2016 20:40,01/01/2017 03:40,NA,NA,0,13,216,A0WGO
FL-EK-0158-20161227-ARN-DXB-0,158,ARN,DXB,27/12/2016 12:35,27/12/2016 18:55,FALSE,27/12/2016 12:35,27/12/2016 18:55,NA,NA,8,41,305,A0WWZ
FL-EK-0302-20161228-DXB-PVG-0,302,DXB,PVG,28/12/2016 23:10,29/12/2016 07:05,FALSE,28/12/2016 23:10,29/12/2016 07:05,NA,NA,5,29,164,A0WFX
FL-EK-0621-20161229-SKT-DXB-0,621,SKT,DXB,29/12/2016 07:10,29/12/2016 10:45,FALSE,29/12/2016 07:10,29/12/2016 10:45,NA,NA,0,30,378,A0WCM
FL-EK-0842-20161231-DOH-DXB-0,842,DOH,DXB,31/12/2016 06:50,31/12/2016 08:00,FALSE,31/12/2016 06:50,31/12/2016 08:00,NA,NA,2,5,245,A0WVD
FL-EK-0926-20161230-CAI-DXB-0,926,CAI,DXB,30/12/2016 22:45,31/12/2016 02:15,FALSE,30/12/2016 22:45,31/12/2016 02:15,NA,NA,6,41,292,A0WWS
FL-EK-0048-20161228-FRA-DXB-0,48,FRA,DXB,28/12/2016 19:30,29/12/2016 02:05,FALSE,28/12/2016 19:30,29/12/2016 02:05,NA,NA,14,67,423,A0WVQ
FL-EK-0839-20161229-DXB-BAH-0,839,DXB,BAH,29/12/2016 12:20,29/12/2016 13:40,FALSE,29/12/2016 12:20,29/12/2016 13:40,NA,NA,2,26,239,A0WDU
FL-EK-0054-20161230-MUC-DXB-0,54,MUC,DXB,30/12/2016 09:10,30/12/2016 15:10,FALSE,30/12/2016 09:10,30/12/2016 15:10,NA,NA,12,75,418,A0WLT
FL-EK-0408-20161230-DXB-MEL-0,408,DXB,MEL,30/12/2016 23:00,31/12/2016 12:20,FALSE,30/12/2016 23:00,31/12/2016 12:20,NA,NA,0,19,235,A0WMA
FL-EK-0059-20161227-DXB-HAM-0,59,DXB,HAM,27/12/2016 04:50,27/12/2016 11:55,FALSE,27/12/2016 04:50,27/12/2016 11:55,27/12/2016 04:50,NA,0,5,176,A0WWY
FL-EK-0072-20161228-CDG-DXB-0,72,CDG,DXB,28/12/2016 08:55,28/12/2016 15:35,FALSE,28/12/2016 08:55,28/12/2016 15:35,NA,NA,14,76,424,A0WFF
FL-EK-0866-20161228-DXB-MCT-0,866,DXB,MCT,28/12/2016 22:45,28/12/2016 23:55,FALSE,28/12/2016 22:45,28/12/2016 23:55,NA,NA,0,13,197,A0WCD
