"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0779","CPT","DXB","12/27/2016 18:00","12/28/2016 03:35","12/27/2016 18:00","12/28/2016 03:35","unaffected"
"A0WGM","EK2809","DXB","MED","12/28/2016 10:15","12/28/2016 13:10","12/28/2016 10:15","12/28/2016 13:10","unaffected"
"A0WGM","EK2810","MED","DXB","12/28/2016 14:55","12/28/2016 17:20","12/28/2016 14:55","12/28/2016 17:20","unaffected"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGM","EK0778","DXB","CPT","12/27/2016 06:50","12/27/2016 16:25","12/27/2016 07:05","12/27/2016 16:40","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0125","DXB","VIE","12/28/2016 12:50","12/28/2016 19:00","12/28/2016 12:50","12/28/2016 19:00","unaffected"
"A0WGY","EK0784","LOS","DXB","12/27/2016 17:35","12/28/2016 01:05","12/27/2016 17:35","12/28/2016 01:05","unaffected"
"A0WGY","EK0967","DXB","MHD","12/28/2016 03:20","12/28/2016 05:40","12/28/2016 03:20","12/28/2016 05:40","unaffected"
"A0WGY","EK0968","MHD","DXB","12/28/2016 07:05","12/28/2016 09:35","12/28/2016 07:05","12/28/2016 09:35","unaffected"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WGY","EK0783","DXB","LOS","12/27/2016 06:30","12/27/2016 14:40","12/27/2016 07:20","12/27/2016 15:30","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
"A0WMM","EK0654","DXB","CMB","12/27/2016 05:05","12/27/2016 09:20","12/27/2016 07:05","12/27/2016 11:20","delayed"
"A0WMM","EK0653","CMB","MLE",,,"12/27/2016 14:45","12/27/2016 16:25","swapped"
